date,day,month,max_temp,min_temp,precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro
14/6/2017,Wednesday,June,84,69.1,0.29,2596,5630,6619,5152
15/6/2017,Thursday,June,75,66,0,3510,7854,8652,6344
16/6/2017,Friday,June,68,66,0,2054,4857,5783,4474
17/6/2017,Saturday,June,73,66.9,1.39,1399,2633,3439,2977
18/6/2017,Sunday,June,84,72,0,2199,4014,4901,3396
19/6/2017,Monday,June,87.1,70,1.35,1648,3553,4334,3552
20/6/2017,Tuesday,June,82,72,0.03,3407,7473,7975,6091
21/6/2017,Wednesday,June,82,72,0,3304,7416,8754,6159
22/6/2017,Thursday,June,82,70,0,3368,7624,8307,6289
23/6/2017,Friday,June,82.9,75.9,0.04,2283,4683,5611,4330
24/6/2017,Saturday,June,82.9,71.1,1.29,2307,3933,5214,3396
25/6/2017,Sunday,June,82,69.1,0,2625,4882,5727,4197
26/6/2017,Monday,June,78.1,66,0,3386,7217,7974,5845
27/6/2017,Tuesday,June,75.9,61,0.18,3182,7317,6501,5580
28/6/2017,Wednesday,June,78.1,62.1,0,3766,8239,8873,5834
29/6/2017,Thursday,June,81,68,0,3356,7544,8276,5662
30/6/2017,Friday,June,88,73.9,0,2687,5890,7013,4754
